Date,Name,ELO_smooth
2015-01-06,Richard Cousins,NA
2015-01-06,Ryan Cheung,NA
2015-01-06,Sam Jukes,1822
2015-01-06,Sam Rhydderch,NA
2015-01-06,Sam Thomas,NA
2015-01-06,Samuele Scarpignato,NA
2015-01-06,Shayanna Sivarajasingam,1835
2015-01-06,Stephen Hughes,NA
2015-01-06,Steve Curtis,NA
2015-01-06,Steve Herkes,1737
2015-01-06,Stuart Enoch,NA
2015-01-06,Tom Brown,2145
2015-01-06,Tom McIlveen,NA
2015-01-06,Tom Stanton,NA
2015-01-06,Varun Varma,NA
2015-01-06,Vaseekaran Sivarajasingam,NA
2015-01-06,Venetia Sivarajasingam,1816
2015-01-06,Walter Braun,NA
2015-01-06,Will Parkinson,NA
2015-01-06,Yaroslav Sharhorodsky,NA
2015-01-06,Zack Wilkins,NA
2015-01-07,Aaryan Pandit,NA
2015-01-07,Abir Deshpande,NA
2015-01-07,Alan Pietrzyk,NA
2015-01-07,Alan Spice,NA
2015-01-07,Aled George,NA
2015-01-07,Alex Bullen,NA
2015-01-07,Alex Freeland,NA
2015-01-07,Alex Wills,NA
2015-01-07,Andrei Zhuravlev,NA
2015-01-07,Anezka Vlkova,NA
2015-01-07,Angus Lloyd,NA
2015-01-07,Anlan Qiu,1597
2015-01-07,Ashika Shahameeran,NA
2015-01-07,Aviral Batra,NA
2015-01-07,Ayodele Sadiq,NA
2015-01-07,Barbara Graczyk-Gibiec,NA
2015-01-07,Benjamin Oh,NA
2015-01-07,Bertie Carvey,NA
2015-01-07,Bethan Mattingley,NA
2015-01-07,Bill Harle,1846
2015-01-07,Bill Hunt,NA
2015-01-07,Bill Wilkins,NA
2015-01-07,Celso Bettencourt Pinto,NA
2015-01-07,Charles Summers,NA
2015-01-07,Chris Fox,1943
2015-01-07,Chris Golding,NA
2015-01-07,Chris Hooper,1633
2015-01-07,Christine Muschiato,NA
2015-01-07,Cian Grattidge,NA
2015-01-07,Con Ariti,NA
2015-01-07,Connor Evans,NA
2015-01-07,Conor Hunt,1825
2015-01-07,Csege Hanczar,NA
2015-01-07,Csombor Hanczar,NA
2015-01-07,Cyril Ley,NA
2015-01-07,Dave McGhee,NA
2015-01-07,David L Roberts,NA
2015-01-07,David ODonnell,1912
2015-01-07,David Thorne,NA
2015-01-07,Dennis Stokes-Carter,NA
2015-01-07,Derek Jones,NA
2015-01-07,Derek Smith,1890
2015-01-07,Dominic Murray,NA
2015-01-07,Edward Donovan,1819
2015-01-07,Edward Mason,1694
2015-01-07,Egor Muljarov,NA
2015-01-07,Elliott MacNeil,NA
2015-01-07,Emma Kong,NA
2015-01-07,Evan Lewis,NA
